DATASET,SERIES_CODE,SERIES_CODE,COUNTRY,INDEX_TYPE,COICOP_1999,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2017,2017-Q1,2017-M01,2017-M02,2017-M03,2017-Q2,2017-M04,2017-M05,2017-M06,2017-Q3,2017-M07,2017-M08,2017-M09,2017-Q4,2017-M10,2017-M11,2017-M12,2018,2018-Q1,2018-M01,2018-M02,2018-M03,2018-Q2,2018-M04,2018-M05,2018-M06,2018-Q3,2018-M07,2018-M08,2018-M09,2018-Q4,2018-M10,2018-M11,2018-M12,2019,2019-Q1,2019-M01,2019-M02,2019-M03,2019-Q2,2019-M04,2019-M05,2019-M06,2019-Q3,2019-M07,2019-M08,2019-M09,2019-Q4,2019-M10,2019-M11,2019-M12,2020,2020-Q1,2020-M01,2020-M02,2020-M03,2020-Q2,2020-M04,2020-M05,2020-M06,2020-Q3,2020-M07,2020-M08,2020-M09,2020-Q4,2020-M10,2020-M11,2020-M12,2021,2021-Q1,2021-M01,2021-M02,2021-M03,2021-Q2,2021-M04,2021-M05,2021-M06,2021-Q3,2021-M07,2021-M08,2021-M09,2021-Q4,2021-M10,2021-M11,2021-M12,2022,2022-Q1,2022-M01,2022-M02,2022-M03,2022-Q2,2022-M04,2022-M05,2022-M06,2022-Q3,2022-M07,2022-M08,2022-M09,2022-Q4,2022-M10,2022-M11,2022-M12,2023,2023-Q1,2023-M01,2023-M02,2023-M03,2023-Q2,2023-M04,2023-M05,2023-M06,2023-Q3,2023-M07,2023-M08,2023-M09,2023-Q4,2023-M10,2023-M11,2023-M12,2024,2024-Q1,2024-M01,2024-M02,2024-M03,2024-Q2,2024-M04,2024-M05,2024-M06,2024-Q3,2024-M07,2024-M08,2024-M09,2024-Q4,2024-M10,2024-M11,2024-M12,2025,2025-Q1,2025-M01,2025-M02,2025-M03,2025-Q2,2025-M04,2025-M05,2025-M06,2025-Q3,2025-M07,2025-M08,2025-M09,2025-Q4,2025-M10,2025-M11,2025-M12
IMF.STA:CPI(5.0.0),EGY.CPI.CP06.POP_PCH_PA_PT.A,EGY.CPI.CP06.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Health,"Period average, Period-over-period percent change",Annual,Units,21.22410772648662,,,,,,,,,,,,,,,,,6.557337586403638,,,,,,,,,,,,,,,,,7.746388486803264,,,,,,,,,,,,,,,,,8.743950589764481,,,,,,,,,,,,,,,,,3.646271266147961,,,,,,,,,,,,,,,,,5.834016964409508,,,,,,,,,,,,,,,,,17.47585748,,,,,,,,,,,,,,,,,27.00266455014451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP12.POP_PCH_PA_PT.A,EGY.CPI.CP12.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Miscellaneous goods and services,"Period average, Period-over-period percent change",Annual,Units,28.52926152755138,,,,,,,,,,,,,,,,,16.74537319325841,,,,,,,,,,,,,,,,,7.070811259640576,,,,,,,,,,,,,,,,,4.972793510981226,,,,,,,,,,,,,,,,,6.221984467557547,,,,,,,,,,,,,,,,,10.58122147671815,,,,,,,,,,,,,,,,,27.13254593175858,,,,,,,,,,,,,,,,,21.89419354838709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP03.POP_PCH_PA_PT.A,EGY.CPI.CP03.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Clothing and footwear,"Period average, Period-over-period percent change",Annual,Units,24.89685061,,,,,,,,,,,,,,,,,17.32063488050884,,,,,,,,,,,,,,,,,7.308413302386659,,,,,,,,,,,,,,,,,2.507541313458649,,,,,,,,,,,,,,,,,2.237163941861191,,,,,,,,,,,,,,,,,9.784565926172676,,,,,,,,,,,,,,,,,19.88460455952706,,,,,,,,,,,,,,,,,24.58621903979346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP09.POP_PCH_PA_PT.A,EGY.CPI.CP09.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Recreation and culture,"Period average, Period-over-period percent change",Annual,Units,35.59739873973523,,,,,,,,,,,,,,,,,16.97746243918426,,,,,,,,,,,,,,,,,11.05361711635999,,,,,,,,,,,,,,,,,6.935226923146666,,,,,,,,,,,,,,,,,9.284893988307775,,,,,,,,,,,,,,,,,24.81683822832171,,,,,,,,,,,,,,,,,26.15442439862545,,,,,,,,,,,,,,,,,45.62672909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP11.YOY_PCH_PA_PT.A,EGY.CPI.CP11.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Restaurants and hotels,"Period average, Year-over-year (YOY) percent change",Annual,Units,27.47432898,,,,,,,,,,,,,,,,,10.54733829328874,,,,,,,,,,,,,,,,,11.55683455259576,,,,,,,,,,,,,,,,,8.712313966498106,,,,,,,,,,,,,,,,,3.758171604511213,,,,,,,,,,,,,,,,,18.58824980997268,,,,,,,,,,,,,,,,,44.82656564460744,,,,,,,,,,,,,,,,,35.58670862794789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP07.POP_PCH_PA_PT.A,EGY.CPI.CP07.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Transport,"Period average, Period-over-period percent change",Annual,Units,28.86199084900564,,,,,,,,,,,,,,,,,30.64566703433291,,,,,,,,,,,,,,,,,21.25880924572815,,,,,,,,,,,,,,,,,9.930758014828086,,,,,,,,,,,,,,,,,5.046658434947074,,,,,,,,,,,,,,,,,11.85528814018533,,,,,,,,,,,,,,,,,17.31071126675526,,,,,,,,,,,,,,,,,25.07077049770964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP06.YOY_PCH_PA_PT.A,EGY.CPI.CP06.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Health,"Period average, Year-over-year (YOY) percent change",Annual,Units,21.22410772648662,,,,,,,,,,,,,,,,,6.557337586403638,,,,,,,,,,,,,,,,,7.746388486803264,,,,,,,,,,,,,,,,,8.743950589764481,,,,,,,,,,,,,,,,,3.646271266147961,,,,,,,,,,,,,,,,,5.834016964409508,,,,,,,,,,,,,,,,,17.47585748,,,,,,,,,,,,,,,,,27.00266455014451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP08.POP_PCH_PA_PT.A,EGY.CPI.CP08.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Communication,"Period average, Period-over-period percent change",Annual,Units,4.786704692874053,,,,,,,,,,,,,,,,,7.172249279301481,,,,,,,,,,,,,,,,,0.7216462752027299,,,,,,,,,,,,,,,,,3.384923073604593,,,,,,,,,,,,,,,,,0.4927744754392106,,,,,,,,,,,,,,,,,0.7909389419230832,,,,,,,,,,,,,,,,,1.501501502,,,,,,,,,,,,,,,,,14.79289940828409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP02.POP_PCH_PA_PT.A,EGY.CPI.CP02.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),"Alcoholic beverages, tobacco and narcotics","Period average, Period-over-period percent change",Annual,Units,32.05964543941566,,,,,,,,,,,,,,,,,20.47592265581627,,,,,,,,,,,,,,,,,5.983459903030218,,,,,,,,,,,,,,,,,9.279311556093007,,,,,,,,,,,,,,,,,5.299500980057399,,,,,,,,,,,,,,,,,7.932833732723512,,,,,,,,,,,,,,,,,43.91200319021665,,,,,,,,,,,,,,,,,54.81457534752696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP05.POP_PCH_PA_PT.A,EGY.CPI.CP05.POP_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),"Furnishings, household equipment and routine household maintenance","Period average, Period-over-period percent change",Annual,Units,28.88958573845491,,,,,,,,,,,,,,,,,10.30523543297296,,,,,,,,,,,,,,,,,3.052517995473585,,,,,,,,,,,,,,,,,3.490020966894934,,,,,,,,,,,,,,,,,3.127129208286295,,,,,,,,,,,,,,,,,13.48367400890604,,,,,,,,,,,,,,,,,37.80537737136623,,,,,,,,,,,,,,,,,27.21600475388736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP02.YOY_PCH_PA_PT.A,EGY.CPI.CP02.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),"Alcoholic beverages, tobacco and narcotics","Period average, Year-over-year (YOY) percent change",Annual,Units,32.05964543941566,,,,,,,,,,,,,,,,,20.47592265581627,,,,,,,,,,,,,,,,,5.983459903030218,,,,,,,,,,,,,,,,,9.279311556093007,,,,,,,,,,,,,,,,,5.299500980057399,,,,,,,,,,,,,,,,,7.932833732723512,,,,,,,,,,,,,,,,,43.91200319021665,,,,,,,,,,,,,,,,,54.81457534752696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP05.YOY_PCH_PA_PT.A,EGY.CPI.CP05.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),"Furnishings, household equipment and routine household maintenance","Period average, Year-over-year (YOY) percent change",Annual,Units,28.88958573845491,,,,,,,,,,,,,,,,,10.30523543297296,,,,,,,,,,,,,,,,,3.052517995473585,,,,,,,,,,,,,,,,,3.490020966894934,,,,,,,,,,,,,,,,,3.127129208286295,,,,,,,,,,,,,,,,,13.48367400890604,,,,,,,,,,,,,,,,,37.80537737136623,,,,,,,,,,,,,,,,,27.21600475388736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP08.YOY_PCH_PA_PT.A,EGY.CPI.CP08.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Communication,"Period average, Year-over-year (YOY) percent change",Annual,Units,4.786704692874053,,,,,,,,,,,,,,,,,7.172249279301481,,,,,,,,,,,,,,,,,0.7216462752027299,,,,,,,,,,,,,,,,,3.384923073604593,,,,,,,,,,,,,,,,,0.4927744754392106,,,,,,,,,,,,,,,,,0.7909389419230832,,,,,,,,,,,,,,,,,1.501501502,,,,,,,,,,,,,,,,,14.79289940828409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP09.YOY_PCH_PA_PT.A,EGY.CPI.CP09.YOY_PCH_PA_PT.A,"Egypt, Arab Republic of",Consumer price index (CPI),Recreation and culture,"Period average, Year-over-year (YOY) percent change",Annual,Units,35.59739873973523,,,,,,,,,,,,,,,,,16.97746243918426,,,,,,,,,,,,,,,,,11.05361711635999,,,,,,,,,,,,,,,,,6.935226923146666,,,,,,,,,,,,,,,,,9.284893988307775,,,,,,,,,,,,,,,,,24.81683822832171,,,,,,,,,,,,,,,,,26.15442439862545,,,,,,,,,,,,,,,,,45.62672909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP01.POP_PCH_PA_PT.Q,EGY.CPI.CP01.POP_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Food and non-alcoholic beverages,"Period average, Period-over-period percent change",Quarterly,Units,,16.45111170932081,,,,8.214237619592815,,,,4.422059105615379,,,,0.38819552,,,,,0.4134843978208814,,,,4.415890572455339,,,,6.975555613,,,,4.062334133780743,,,,,-1.603613409,,,,2.969210223038823,,,,-0.129763084,,,,-3.785112469,,,,,1.027082187536665,,,,3.282048774552768,,,,-3.130429406,,,,0.7928570799358949,,,,,-0.795896239,,,,4.924333841474318,,,,2.300319488817892,,,,2.685821361649001,,,,,5.809002433090055,,,,11.89997125610807,,,,0.6678653994348316,,,,9.364633835162085,,,,,28.06812879,,,,13.60903625432683,,,,7.536882617062186,,,,5.621831195943947,,,,,14.58421572779894,,,,3.252833908329227,,,,3.078758949880669,,,,1.701782820097245,,,,,1.491178145,,,,1.446837146702557,,,,-2.343836374,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP01.YOY_PCH_PA_PT.Q,EGY.CPI.CP01.YOY_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Food and non-alcoholic beverages,"Period average, Year-over-year (YOY) percent change",Quarterly,Units,,39.89146566059502,,,,41.62470036318848,,,,41.71902566665472,,,,32.10003836704422,,,,,13.90724354,,,,9.909070544704431,,,,12.59674430012011,,,,16.71770736578434,,,,,14.37309167091767,,,,12.78845447331109,,,,5.297042909112546,,,,-2.64351434,,,,,-0.040621216,,,,0.2630729384718052,,,,-2.749396397,,,,1.877853225002038,,,,,0.039523101,,,,1.630248854622151,,,,7.327893204809255,,,,9.343590290438013,,,,,16.62356467555571,,,,24.37699680511189,,,,22.39225484072455,,,,30.35279805352801,,,,,57.77522276516239,,,,60.18494734138195,,,,71.11508037764738,,,,65.25898273448433,,,,,47.85935507378389,,,,34.38101347017315,,,,28.81002087682673,,,,24.02936608781588,,,,,9.857072449482517,,,,7.935560859188557,,,,2.257467006251447,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP07.YOY_PCH_PA_PT.Q,EGY.CPI.CP07.YOY_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Transport,"Period average, Year-over-year (YOY) percent change",Quarterly,Units,,27.36402473298092,,,,26.41674024198975,,,,38.27171107754909,,,,23.88390337210308,,,,,14.26735867487521,,,,28.12754804173436,,,,39.08110961527354,,,,38.8374336,,,,,39.50068744859634,,,,23.47013006197668,,,,11.42178080243312,,,,16.09399057298428,,,,,15.87671821621479,,,,14.35436925,,,,6.619437257664492,,,,4.101581280963036,,,,,3.703013138758553,,,,6.879496856669168,,,,5.154764389943888,,,,4.487531409077197,,,,,5.595505370519872,,,,6.153429114,,,,17.57592045149154,,,,17.77777777777778,,,,,19.35061534433095,,,,23.11031664964252,,,,13.46285714285719,,,,14.24079065588497,,,,,16.65204036858272,,,,19.66397013067828,,,,26.95406929895245,,,,35.90247738891076,,,,,34.71882640586801,,,,40.56162246,,,,31.02189781021894,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP04.YOY_PCH_PA_PT.Q,EGY.CPI.CP04.YOY_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),"Housing, water, electricity, gas and other fuels","Period average, Year-over-year (YOY) percent change",Quarterly,Units,,8.226580182646838,,,,7.696401266492119,,,,10.57344946195363,,,,12.39860470730375,,,,,10.69482225700019,,,,13.19020323240403,,,,18.44560481809624,,,,14.84946426809609,,,,,14.92911927792309,,,,12.40561418144122,,,,7.452041534740186,,,,4.558525354887152,,,,,4.663672236770993,,,,5.262927545,,,,1.799236666622797,,,,4.513452155334543,,,,,4.417272397341231,,,,4.084212901070253,,,,3.827901515888191,,,,3.696124672252268,,,,,4.551757289061404,,,,6.850560775992693,,,,5.644208037825089,,,,6.470588235294178,,,,,7.620709714950524,,,,6.978723404255319,,,,7.020979020978963,,,,7.016574585635302,,,,,9.729729729729732,,,,9.997348183505728,,,,11.16048092002096,,,,16.28807434176567,,,,,13.32512315270941,,,,14.65766634522656,,,,16.78814954150011,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP03.YOY_PCH_PA_PT.Q,EGY.CPI.CP03.YOY_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Clothing and footwear,"Period average, Year-over-year (YOY) percent change",Quarterly,Units,,22.16910863099597,,,,22.71807879244988,,,,28.40795342262765,,,,25.91485335788907,,,,,23.24419739493396,,,,22.96300011639008,,,,15.03072321269124,,,,9.773192976718056,,,,,9.125648950577755,,,,8.313806271963785,,,,6.843047671426779,,,,5.126773736750753,,,,,3.787915695789183,,,,1.730393996150026,,,,1.935913481538303,,,,2.614099178238112,,,,,2.13629421,,,,2.961908254777238,,,,2.351012359070053,,,,1.515315207527398,,,,,4.038692718387842,,,,7.832254085723127,,,,11.47439851943245,,,,15.63358778625948,,,,,19.88533494,,,,20.78924792679436,,,,20.47592695074703,,,,18.48428835489839,,,,,19.6576894,,,,25.52083333333331,,,,26.57326596233352,,,,26.14218854468464,,,,,23.93773664282707,,,,17.14447378347794,,,,14.87933224460169,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP10.POP_PCH_PA_PT.Q,EGY.CPI.CP10.POP_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Education,"Period average, Period-over-period percent change",Quarterly,Units,,0,,,,0,,,,0,,,,19.57840500600385,,,,,-1.55E-07,,,,3.39768E-05,,,,6.79536E-06,,,,14.65492614631375,,,,,0,,,,0,,,,-0.044636708,,,,21.88939438253023,,,,,0,,,,0,,,,0,,,,19.95851090128721,,,,,0.001111126,,,,0.0149314,,,,0,,,,12.71523178807947,,,,,0,,,,0,,,,0,,,,11.33960047003525,,,,,0,,,,0,,,,0,,,,0,,,,,12.24274406332454,,,,5.453690644099671,,,,0,,,,0,,,,,7.430524595036424,,,,3.458292986581809,,,,0,,,,,,,
IMF.STA:CPI(5.0.0),EGY.CPI.CP10.YOY_PCH_PA_PT.Q,EGY.CPI.CP10.YOY_PCH_PA_PT.Q,"Egypt, Arab Republic of",Consumer price index (CPI),Education,"Period average, Year-over-year (YOY) percent change",Quarterly,Units,,12.32270362269677,,,,12.32270362269677,,,,12.32270362269677,,,,19.57840500600385,,,,,19.57840482041532,,,,19.57844544931522,,,,19.57845357509532,,,,14.65497271563866,,,,,14.65497289,,,,14.65493393752322,,,,14.60374796154468,,,,21.83498697,,,,,21.83498697,,,,21.83498697,,,,21.88939438253023,,,,19.95851090128721,,,,,19.95984379097573,,,,19.97775547525895,,,,19.97775547525895,,,,12.73331434512016,,,,,12.73206175035598,,,,12.71523178807947,,,,12.71523178807947,,,,11.33960047003525,,,,,11.33960047003525,,,,11.33960047003525,,,,11.33960047003525,,,,0,,,,,12.24274406332454,,,,18.36411609498681,,,,18.36411609498681,,,,18.36411609498681,,,,,13.28945306378312,,,,11.14578689255461,,,,11.14578689255461,,,,,,,
